0.2807;-0.5182;0.8079;-256
-0.7868;0.0047;-0.6171;-16776961
-0.7689;0.6254;-0.1325;-16776961
-0.4807;0.8731;0.0809;-16776961
0.6881;-0.1923;0.6996;-256
-0.4015;-0.0635;0.9137;-16711936
-0.8411;0.3481;-0.4139;-16776961
0.2844;0.8342;0.4725;-65536
-0.0555;-0.4869;-0.8717;-16711936
0.8112;0.5839;-0.0304;-65536
0.7739;0.6002;0.2023;-65536
-0.5652;0.8062;0.1750;-16776961
0.7301;-0.0110;-0.6832;-256
-0.1001;0.9053;0.4127;-16776961
0.9605;-0.1168;0.2525;-256
0.6736;-0.1168;0.7298;-256
0.6515;0.2252;-0.7244;-65536
-0.6592;-0.7519;-0.0063;-16711936
-0.7664;0.1702;0.6195;-16776961
-0.5802;-0.3259;-0.7464;-16711936
0.4748;0.6057;0.6386;-65536
0.4388;0.6387;0.6321;-65536
-0.7120;0.5717;-0.4077;-16776961
0.9170;-0.1188;-0.3809;-256
-0.1368;0.3096;-0.9410;-16776961
-0.4892;0.2414;0.8381;-16776961
-0.5563;0.8175;0.1490;-16776961
0.8296;0.3773;0.4116;-65536
0.2129;-0.3211;0.9228;-256
0.3776;-0.7821;0.4957;-256
-0.3067;-0.7374;0.6019;-16711936
-0.6023;0.7773;0.1817;-16776961
-0.9564;0.1291;0.2621;-16776961
-0.5508;-0.6716;-0.4955;-16711936
0.3524;0.8638;-0.3601;-65536
-0.4710;-0.8183;-0.3295;-16711936
0.0976;-0.7910;0.6040;-256
0.3545;-0.9183;0.1761;-256
0.4207;-0.9018;-0.0987;-256
0.0465;-0.0240;0.9986;-256
-0.4710;-0.5528;-0.6874;-16711936
-0.0625;0.7407;0.6690;-16776961
-0.0973;0.0758;-0.9924;-16776961
0.4660;0.5972;0.6528;-65536
-0.6629;-0.1304;0.7372;-16711936
0.5752;0.5603;0.5960;-65536
0.4020;-0.8108;-0.4254;-256
-0.5450;-0.6509;-0.5285;-16711936
0.7595;-0.5810;-0.2925;-256
-0.7225;-0.6908;-0.0289;-16711936
0.0755;-0.1077;-0.9913;-256
-0.5112;-0.6047;0.6108;-16711936
0.6971;0.7169;0.0089;-65536
-0.4041;-0.9062;0.1246;-16711936
-0.8753;0.4809;-0.0511;-16776961
-0.1357;-0.7970;-0.5886;-16711936
0.6718;0.1128;0.7321;-65536
0.6555;-0.1612;-0.7378;-256
-0.2541;0.1810;-0.9501;-16776961
-0.9892;-0.0694;-0.1291;-16711936
-0.6703;-0.5370;0.5122;-16711936
0.6515;0.7126;0.2603;-65536
0.5797;-0.0976;-0.8090;-256
-0.3318;-0.9038;-0.2704;-16711936
-0.0576;-0.5383;0.8408;-16711936
0.9837;-0.1473;0.1035;-256
-0.4423;0.8855;-0.1425;-16776961
-0.8739;-0.1898;-0.4474;-16711936
-0.4804;0.8244;-0.2992;-16776961
-0.8497;-0.2624;-0.4574;-16711936
-0.1212;-0.5437;-0.8305;-16711936
-0.1669;-0.6713;0.7222;-16711936
0.5362;0.7259;-0.4307;-65536
-0.8922;-0.1452;0.4276;-16711936
-0.9127;-0.2730;0.3042;-16711936
0.5793;-0.2894;0.7620;-256
-0.5197;0.7851;0.3370;-16776961
-0.4974;0.5061;0.7046;-16776961
-0.4946;0.3430;0.7986;-16776961
0.6767;-0.5044;-0.5363;-256
-0.6868;0.5579;0.4659;-16776961
0.9535;-0.2808;0.1094;-256
-0.4735;-0.7493;0.4630;-16711936
-0.5759;0.0701;-0.8145;-16776961
0.7835;-0.5474;0.2941;-256
-0.6417;-0.7636;-0.0710;-16711936
0.7216;-0.6240;-0.2999;-256
-0.8665;-0.1256;0.4831;-16711936
-0.0997;-0.6578;-0.7466;-16711936
-0.5371;-0.1202;-0.8349;-16711936
0.7153;-0.6896;-0.1131;-256
-0.3499;-0.5497;-0.7586;-16711936
-0.5464;-0.6662;0.5075;-16711936
0.9205;0.0157;0.3905;-65536
0.7962;-0.5163;0.3153;-256
-0.6181;-0.6391;-0.4578;-16711936
-0.2698;-0.7592;0.5923;-16711936
-0.6521;-0.7415;-0.1581;-16711936
0.7431;-0.0837;-0.6639;-256
0.7906;-0.3555;0.4986;-256
0.7117;0.4761;-0.5166;-65536
0.4504;0.1805;0.8744;-65536
0.7303;0.3702;-0.5741;-65536
-0.7030;-0.5644;-0.4326;-16711936
0.4570;0.3935;0.7977;-65536
